2015 전체,2015 남자,2015 여자,2015 20대,2015 30대,2015 40대,2015 50대,2015 60대이상
3591.0,1817.0,1774.0,453.0,578.0,703.0,833.0,1025.0
33.5,38.5,28.3,38.9,45.0,43.1,35.9,15.9
44.2,40.6,47.8,25.5,26.0,32.3,42.5,72.2
6.9,6.1,7.7,9.4,7.8,7.2,7.4,4.6
1.9,1.8,2.0,10.1,1.0,0.9,1.0,0.2
0.5,0.4,0.7,0.7,1.7,0.4,0.2,0.1
1.4,1.4,1.3,2.7,1.9,1.3,1.2,0.7
0.8,0.6,1.0,0.2,1.2,1.2,0.5,0.8
0.7,0.8,0.7,0.9,1.2,1.0,0.7,0.2
1.2,1.1,1.2,1.2,2.3,1.8,0.7,0.5
0.4,0.6,0.3,0.5,0.6,0.8,0.3,0.1
7.8,7.5,8.1,9.7,10.9,9.6,9.0,2.9
0.8,0.7,0.9,0.2,0.5,0.5,0.6,1.7
